StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,PConsent,PConsent_4_TEXT,CConsentUnderstand,CConsent,Parent Instr,Country,State,City,CGender,CGender_4_TEXT,CAge,CEducation,PHispanic,CHispanic,PRace,CRace,PEthnicity,PEthnicity_7_TEXT,CEthnicity,CEthnicity_7_TEXT,PGeneration,PGeneration_4_TEXT,CGeneration,CGeneration_4_TEXT,PCountryYears,CCountryYears,CEnglish_1,CEnglish_2,CLanguages,CLanguageAbilities,Siblings,MaritalStatus,Referal Source,PCPRS-Conflict_1,PCPRS-Conflict_2,PCPRS-Conflict_3,PCPRS-Conflict_4,PCPRS-Conflict_5,PCPRS-Conflict_6,PCPRS-Conflict_7,PCPRS-Conflict_8,PSDQ_1,PSDQ_2,PSDQ_3,PAFD_1,PAFD_2,PAFD_3,PAFD_4,PAFD_5,PAFD_6,PAFD_7,PAFD_8,PAFD_9,PAFD_10,PLL-General_1,PLL-General_2,PLL-General_3,PLL-FreeResponse,PLL-WordsFreq_1,PLL-WordsFreq_2,PLL-WordsFreq_3,PLL-WordsFreq_4,PLL-TouchFreq_1,PLL-TouchFreq_2,PLL-TouchFreq_3,PLL-TouchFreq_4,PLL-GiftsFreq_1,PLL-GiftsFreq_2,PLL-GiftsFreq_3,PLL-GiftsFreq_4,PLL-Service Freq_1,PLL-Service Freq_2,PLL-Service Freq_3,PLL-Service Freq_4,PLL-TimeFreq_1,PLL-TimeFreq_2,PLL-TimeFreq_3,PLL-TimeFreq_4,PLL-FoodFreq_1,PLL-FoodFreq_2,PLL-FoodFreq_3,PLL-FoodFreq_4,CPrestudy-Instr,CAFD_1,CAFD_2,CAFD_3,CAFD_4,CAFD_5,CAFD_6,CAFD_7,CAFD_8,CAFD_9,CAFD_10,CLL-General_1,CLL-General_2,CLL-General_3,CLL-Free Response,CLL-WordsFreq_1,CLL-WordsFreq_2,CLL-WordsFreq_3,CLL-WordsFreq_4,CLL-TouchFreq_1,CLL-TouchFreq_2,CLL-TouchFreq_3,CLL-TouchFreq_4,CLL-GiftsFreq_1,CLL-GiftsFreq_2,CLL-GiftsFreq_3,CLL-GiftsFreq_4,CLL-ServiceFreq_1,CLL-ServiceFreq_2,CLL-ServiceFreq_3,CLL-ServiceFreq_4,CLL-TimeFreq_1,CLL-TimeFreq_2,CLL-TimeFreq_3,CLL-TimeFreq_4,CLL-FoodFreq_1,CLL-FoodFreq_2,CLL-FoodFreq_3,CLL-FoodFreq_4,CUnderstand-Check,PInfluence-Check,participant_id
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Statement of Consent: I am at least 18 years old. By checking the first three of the boxes below, I confirm that I have read and understood all of the above and voluntarily agree to participate in this study. I also give consent for my child to participate in this study. - Selected Choice","Statement of Consent: I am at least 18 years old. By checking the first three of the boxes below, I confirm that I have read and understood all of the above and voluntarily agree to participate in this study. I also give consent for my child to participate in this study. - I prefer not to participate (Can you please elaborate on why?) - Text",Ask your child: “Do you understand what I am saying?”,Ask your child: “Do you want to be in this research study?”,"In this section, your child should not be present. Please answer the following questions regarding demographics, your relationship with your child, and your child’s behavior to the best of your ability.",List of Countries,In which state do currently reside?,In which city do you currently reside?,What is the gender of your child? - Selected Choice,What is the gender of your child? - Prefer to self-describe - Text,How old is your child?,What is the current grade level of your child?,"Are you of Hispanic, Latino, or Spanish origin?","Is your child of Hispanic, Latino, or Spanish origin?",Choose one or more races that you consider yourself to be,Choose one or more races that you consider your child to be,What ethnic group best describes you? (Select all that apply) - Selected Choice,What ethnic group best describes you? (Select all that apply) - Other (Please specify) - Text,What ethnic group best describes your child? (Select all that apply) - Selected Choice,What ethnic group best describes your child? (Select all that apply) - Other (Please specify) - Text,Which generation best describes you? - Selected Choice,Which generation best describes you? - Other (please specify): - Text,Which generation best describes your child? - Selected Choice,Which generation best describes your child? - Other (please specify): - Text,How many years have you lived in [QID1323330112-ChoiceGroup-SelectedChoices]?,How many years has your child lived in [QID1323330112-ChoiceGroup-SelectedChoices]?,How well can your child speak and read English? - Speaking,How well can your child speak and read English? - Reading,"Besides English, what’s the second most common language that you speak with your child? Write ""none"" if your child does not speak a second language.",How well do they speak that language? Skip this question if your child does not speak a second language.,How many siblings does your child have?,Marital status,How did you hear about this study?,Instructions: Please reflect on the degree to which each of the following statements currently applies to your relationship with your child. - My child and I always seem to be struggling with each other.,Instructions: Please reflect on the degree to which each of the following statements currently applies to your relationship with your child. - My child is uncomfortable with physical affection or touch from me.,Instructions: Please reflect on the degree to which each of the following statements currently applies to your relationship with your child. - My child easily becomes angry at me.,Instructions: Please reflect on the degree to which each of the following statements currently applies to your relationship with your child. - My child remains angry or is resistant after being disciplined.,Instructions: Please reflect on the degree to which each of the following statements currently applies to your relationship with your child. - Dealing with my child drains my energy.,"Instructions: Please reflect on the degree to which each of the following statements currently applies to your relationship with your child. - When my child is in a bad mood, I know we're in for a long and difficult day.",Instructions: Please reflect on the degree to which each of the following statements currently applies to your relationship with your child. - My child's feelings toward me can be unpredictable or can change suddenly.,Instructions: Please reflect on the degree to which each of the following statements currently applies to your relationship with your child. - My child is sneaky or manipulative with me.,"Instructions: For each item, please mark for Not True, Somewhat True or Certainly True based on your child's behavior over the last six months. - My child often loses temper.","Instructions: For each item, please mark for Not True, Somewhat True or Certainly True based on your child's behavior over the last six months. - My child has many worries or often seems worried.","Instructions: For each item, please mark for Not True, Somewhat True or Certainly True based on your child's behavior over the last six months. - My child is often unhappy, depressed or tearful.",Please pick the best answer below: - My child and I talk.,Please pick the best answer below: - My child and I understand each other.,Please pick the best answer below: - My child and I say how we feel.,Please pick the best answer below: - My child and I listen to each other.,Please pick the best answer below: - My child and I understand each other's faces and looks.,Please pick the best answer below: - My child and I have a lot in common.,Please pick the best answer below: - My child and I agree on what’s right and wrong.,Please pick the best answer below: - My child and I get along.,Please pick the best answer below: - My child and I spend time together.,Please pick the best answer below: - My child and I help each other.,Please answer the following questions regarding your relationship with your child - My child feels loved by me.,Please answer the following questions regarding your relationship with your child - I show love to my child.,Please answer the following questions regarding your relationship with your child - I feel close to my child.,How do you show love to your child?,How often do you do the following for your child? - Tell them I love them.,How often do you do the following for your child? - Tell them I'm proud of them.,How often do you do the following for your child? - Tell them they're important.,How often do you do the following for your child? - Tell them I believe them.,How often do you do the following for your child? - Hug them.,How often do you do the following for your child? - Kiss them.,How often do you do the following for your child? - Hold their hand.,How often do you do the following for your child? - Give them cuddles.,How often do you do the following for your child? - Give them gifts to show I care.,How often do you do the following for your child? - Surprise them with presents.,"How often do you do the following for your child? - Give them something on special days, like their birthday and holidays.",How often do you do the following for your child? - Know the things they like.,How often do you do the following for your child? - Provide for them.,How often do you do the following for your child? - Help them stay clean and organized.,How often do you do the following for your child? - Help them with school work.,How often do you do the following for your child? - Help take them to different activities.,How often do you do the following for your child? - Spend time with them.,How often do you do the following for your child? - Play with them.,How often do you do the following for your child? - Go places with them.,How often do you do the following for your child? - Pay attention to them.,How often do you do the following for your child? - Cook for them.,How often do you do the following for your child? - Know their favorite foods.,How often do you do the following for your child? - Eat together with them.,How often do you do the following for your child? - Get them their favorite snacks.,"In this section, please have your child return, and have your child answer the following questions about their relationship with you. You are welcome to help your child read and understand the questions, but please try your best to let them come up with their own responses.",Please answer these questions about you and your mom - My mother and I talk.,Please answer these questions about you and your mom - My mother and I understand each other.,Please answer these questions about you and your mom - My mother and I say how we feel.,Please answer these questions about you and your mom - My mother and I listen to each other.,Please answer these questions about you and your mom - My mother and I understand each other's faces and looks.,Please answer these questions about you and your mom - My mother and I have a lot in common.,Please answer these questions about you and your mom - My mother and I agree on what’s right and wrong.,Please answer these questions about you and your mom - My mother and I get along.,Please answer these questions about you and your mom - My mother and I spend time together.,Please answer these questions about you and your mom - My mother and I help each other.,Please pick the best answer to these questions about you and your mom - I feel loved by my mom.,Please pick the best answer to these questions about you and your mom - My mom shows me love.,Please pick the best answer to these questions about you and your mom - I feel close to my mom.,How does your mom show you love?,How often does your mom do these things for you? - Tell me she loves me.,How often does your mom do these things for you? - Tell me she's proud of me.,How often does your mom do these things for you? - Tell me that I'm important.,How often does your mom do these things for you? - Tell me she believes in me.,How often does your mom do these things for you? - Hug me.,How often does your mom do these things for you? - Kiss me.,How often does your mom do these things for you? - Hold my hand.,How often does your mom do these things for you? - Give me cuddles.,How often does your mom do these things for you? - Give me gifts to show she cares.,How often does your mom do these things for you? - Surprise me with presents.,"How often does your mom do these things for you? - Give me something on special days, like my birthday and holidays.",How often does your mom do these things for you? - Know the things that I like.,How often does your mom do these things for you? - Provide for me.,How often does your mom do these things for you? - Help me stay clean and organized.,How often does your mom do these things for you? - Help me with school work.,How often does your mom do these things for you? - Help take me to different activities.,How often does your mom do these things for you? - Spend time with me.,How often does your mom do these things for you? - Play with me.,How often does your mom do these things for you? - Go places with me.,How often does your mom do these things for you? - Pay attention to me.,How often does your mom do these things for you? - Cook for me.,How often does your mom do these things for you? - Know my favorite foods.,How often does your mom do these things for you? - Eat together with me.,How often does your mom do these things for you? - Get me my favorite snacks.,How much did your child understand the previous set of questions?,How much did you answer for your child?,participant_id
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID72""}","{""ImportId"":""QID72_4_TEXT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID89""}","{""ImportId"":""QID1323330112""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID104_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID94""}","{""ImportId"":""QID94_7_TEXT""}","{""ImportId"":""QID107""}","{""ImportId"":""QID107_7_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_4_TEXT""}","{""ImportId"":""QID106_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID33_5""}","{""ImportId"":""QID33_6""}","{""ImportId"":""QID33_7""}","{""ImportId"":""QID33_8""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID27_5""}","{""ImportId"":""QID27_6""}","{""ImportId"":""QID27_7""}","{""ImportId"":""QID27_8""}","{""ImportId"":""QID27_9""}","{""ImportId"":""QID27_10""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID42_3""}","{""ImportId"":""QID42_4""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID62_2""}","{""ImportId"":""QID62_3""}","{""ImportId"":""QID62_4""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}","{""ImportId"":""QID46_4""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID50_4""}","{""ImportId"":""QID84""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID52_3""}","{""ImportId"":""QID52_4""}","{""ImportId"":""QID52_5""}","{""ImportId"":""QID52_6""}","{""ImportId"":""QID52_7""}","{""ImportId"":""QID52_8""}","{""ImportId"":""QID52_9""}","{""ImportId"":""QID52_10""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID56_3""}","{""ImportId"":""QID56_4""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID59_3""}","{""ImportId"":""QID59_4""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID61_4""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID65_2""}","{""ImportId"":""QID65_3""}","{""ImportId"":""QID65_4""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID67_3""}","{""ImportId"":""QID67_4""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID69_2""}","{""ImportId"":""QID69_3""}","{""ImportId"":""QID69_4""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""participant_id""}"
2026-03-23 10:14:57,2026-03-23 10:15:55,Survey Preview,100,57,True,2026-03-23 10:15:55,R_8M6RSXn5QOhtoK9,preview,EN,"I confirm that I am over 18 years old.,I confirm that I can read in English.,I consent to my child between 6-13 years old to participate in this study.",,"Yes, my child is capable of understanding this study","Yes, my child wants to be in this research study","I confirm that my child is not present, and my child will not see my following answers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I understand that my child will be answering the following questions, and I will limit my influence to the best of my abilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49491152
2026-03-23 10:16:09,2026-03-23 10:16:13,Survey Preview,100,3,True,2026-03-23 10:16:13,R_8ebOahydpeXlkC5,preview,EN,I confirm that I am over 18 years old.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12457338
2026-03-23 10:16:17,2026-03-23 10:16:49,Survey Preview,100,32,True,2026-03-23 10:16:50,R_8CIsYq98Koj98de,preview,EN,I confirm that I can read in English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58115934
2026-03-23 10:16:52,2026-03-23 10:17:03,Survey Preview,100,10,True,2026-03-23 10:17:04,R_8NakM7UUGx8eqQP,preview,EN,"I confirm that I am over 18 years old.,I confirm that I can read in English.,I consent to my child between 6-13 years old to participate in this study.",,"No, my child is not capable of understanding this study","Yes, my child wants to be in this research study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40222967
2026-03-23 11:24:13,2026-03-23 11:24:19,IP Address,100,6,True,2026-03-23 11:24:20,R_7m2xfWw8qptIaAZ,qr,EN,I confirm that I am over 18 years old.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38644490
2026-03-26 13:19:58,2026-03-26 13:20:01,Survey Preview,100,3,True,2026-03-26 13:20:02,R_8gC8BPhnwH8YRbi,preview,EN,I confirm that I am over 18 years old.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42827868
2026-03-26 13:20:06,2026-03-26 13:20:16,Survey Preview,100,10,True,2026-03-26 13:20:17,R_86ng62UCjU0ojdV,preview,EN,I prefer not to participate (Can you please elaborate on why?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54466198
2026-03-28 15:41:40,2026-03-28 15:45:15,Survey Preview,100,215,True,2026-03-28 15:45:16,R_85vAM2OkxDRBIUB,preview,EN,"I confirm that I am over 18 years old.,I confirm that I can read in English.,I consent to my child between 6-13 years old to participate in this study.",,"Yes, my child is capable of understanding this study","Yes, my child wants to be in this research study","I confirm that my child is not present, and my child will not see my following answers.",United States of America,WA,Seattle,,,,,No,No,Asian,Asian,Chinese,,Chinese,,First-generation (I was born outside ${q://QID1323330112/ChoiceGroup/SelectedChoices} and immigrated here),,"Second-generation (My child was born in ${q://QID1323330112/ChoiceGroup/SelectedChoices}, and I or my partner immigrated here)",,,,,,,,,,a friend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I understand that my child will be answering the following questions, and I will limit my influence to the best of my abilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60209458
